Name,Rating
Game of Thrones,90
House of the Dragon (S1),75
Modern Family,100
Chernobyl,90
The Wire (S1-2),90
Rick and Morty,100
True Detective (S1),100
Fawlty Towers,90
Narcos,100
Rome,90
The Mandalorian (S1-2),70
Yellowstone,85
The Thick of It,90
Line of Duty,100
Luther,90
ZeroZeroZero,80
Mr Robot,50
Westworld (S1),80
The Night Of,80
Billions (S1-4),85
The Walking Dead (S1-5),80
Sex Education (S1-3),70
Gotham,70
The Punisher (S1),90
Narcos: Mexico,80
Power,90
House (S1-4),85
Money Heist (S1-2),80
Suits (S1-7),85
13 Reasons Why (S1),50
The Inbetweeners,100
Brooklyn Nine Nine,80
Misfits (S1-2),90
Misfits (S3-5),75
Devs,80
The Outsider,70
The Boys (S1-2),70
Fleabag (S1-2),60
Industry (S1),30
Severance (S1),80
Reacher (S1),80
Loki (S1),80
Elite (S1-3),80
Squid Game (S1),85
The Innocent,80
It's Always Sunny in Philadelphia (S1-15),99
